config,swizzle,depth,box_rows,box_cols,bytes,median_ms,gbps
swz-NONE_d1_r64,NONE,1,64,64,134086656,0.0928,1444.90
swz-NONE_d2_r64,NONE,2,64,64,134086656,0.0567,2363.34
swz-NONE_d4_r64,NONE,4,64,64,134086656,0.0405,3309.80
swz-32B_d1_r64,32B,1,64,16,134086656,0.2480,540.60
swz-32B_d2_r64,32B,2,64,16,134086656,0.1744,768.99
swz-32B_d4_r64,32B,4,64,16,134086656,0.1011,1326.43
swz-64B_d1_r64,64B,1,64,32,134086656,0.1754,764.36
swz-64B_d2_r64,64B,2,64,32,134086656,0.0997,1344.74
swz-64B_d4_r64,64B,4,64,32,134086656,0.0641,2093.01
swz-128B_d1_r64,128B,1,64,64,134086656,0.0930,1442.41
swz-128B_d2_r64,128B,2,64,64,134086656,0.0564,2376.75
swz-128B_d4_r64,128B,4,64,64,134086656,0.0404,3322.92
swz-128B_d4_r8,128B,4,8,64,134086656,0.1584,846.51
swz-128B_d4_r16,128B,4,16,64,134086656,0.0885,1514.35
swz-128B_d4_r32,128B,4,32,64,134086656,0.0556,2409.55
swz-128B_d4_r128,128B,4,128,64,134086656,0.0361,3718.02
