"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134100992"
"0","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","92.23"
"1","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134099456"
"1","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.92"
"2","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134098944"
"2","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","92.11"
"3","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134099456"
"3","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.40"
"4","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134099200"
"4","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.43"
"5","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134098432"
"5","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.26"
"6","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134102016"
"6","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.55"
"7","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134099456"
"7","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","92.47"
"8","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134099968"
"8","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.53"
"9","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134097920"
"9","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.67"
"10","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134100480"
"10","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.85"
"11","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134100224"
"11","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.01"
"12","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134098688"
"12","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","90.89"
"13","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134099456"
"13","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.74"
"14","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134100480"
"14","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.45"
"15","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134103040"
"15","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","92.09"
"16","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134099200"
"16","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","90.96"
"17","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","134099712"
