"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2459968","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__m_l1tex2xbar_read_requests_mem_global_op_tma_ld_dest_multicast.sum","request","0"
"0","2459968","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__m_xbar2l1tex_read_bytes_mem_global_op_tma_ld.sum","byte","134086656"
"1","2459968","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__m_l1tex2xbar_read_requests_mem_global_op_tma_ld_dest_multicast.sum","request","0"
"1","2459968","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__m_xbar2l1tex_read_bytes_mem_global_op_tma_ld.sum","byte","134086656"
"2","2459968","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__m_l1tex2xbar_read_requests_mem_global_op_tma_ld_dest_multicast.sum","request","0"
"2","2459968","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__m_xbar2l1tex_read_bytes_mem_global_op_tma_ld.sum","byte","134086656"
"3","2459968","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__m_l1tex2xbar_read_requests_mem_global_op_tma_ld_dest_multicast.sum","request","0"
"3","2459968","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__m_xbar2l1tex_read_bytes_mem_global_op_tma_ld.sum","byte","134086656"
"4","2459968","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__m_l1tex2xbar_read_requests_mem_global_op_tma_ld_dest_multicast.sum","request","0"
"4","2459968","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<1, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","l1tex__m_xbar2l1tex_read_bytes_mem_global_op_tma_ld.sum","byte","134086656"
