config,M,N,K,smem_bytes,median_ms,written,matched,total,tflops
ss_tn_bf16_n8,64,8,16,2304,0.02259,512,512,512,0.743
ss_tn_bf16_n16,64,16,16,2560,0.02326,1024,1024,1024,1.442
ss_tn_bf16_n32,64,32,16,3072,0.02422,2048,2048,2048,2.770
ss_tn_bf16_n64,64,64,16,4096,0.02858,4096,4096,4096,4.697
ss_tn_bf16_n128,64,128,16,6144,0.05046,8192,8192,8192,5.319
ss_tn_bf16_n256,64,256,16,10240,0.09539,16384,16384,16384,5.628
ss_tn_fp16_n64,64,64,16,4096,0.02864,4096,4096,4096,4.686
ss_tn_tf32_n64,64,64,8,4096,0.02854,4096,4096,4096,2.351
ss_tn_s8_n64,64,64,32,4096,0.02810,4096,4096,4096,9.554
ss_nt_bf16_n64,64,64,16,4096,0.02854,4096,4096,4096,4.702
rs_tn_bf16_n64,64,64,16,4096,0.02861,4096,4096,4096,4.692
