input_path	output_path	status	reason
10-api-raw/runtime/__all_sync.md	wiki/nvidia/api-definitions/runtime/__all_sync.md	migrated	
10-api-raw/runtime/__any_sync.md	wiki/nvidia/api-definitions/runtime/__any_sync.md	migrated	
10-api-raw/runtime/__ballot_sync.md	wiki/nvidia/api-definitions/runtime/__ballot_sync.md	migrated	
10-api-raw/runtime/__cosf.md	wiki/nvidia/api-definitions/runtime/__cosf.md	migrated	
10-api-raw/runtime/__exp10f.md	wiki/nvidia/api-definitions/runtime/__exp10f.md	migrated	
10-api-raw/runtime/__expf.md	wiki/nvidia/api-definitions/runtime/__expf.md	migrated	
10-api-raw/runtime/__ldca.md	wiki/nvidia/api-definitions/runtime/__ldca.md	migrated	
10-api-raw/runtime/__ldcg.md	wiki/nvidia/api-definitions/runtime/__ldcg.md	migrated	
10-api-raw/runtime/__ldcs.md	wiki/nvidia/api-definitions/runtime/__ldcs.md	migrated	
10-api-raw/runtime/__ldcv.md	wiki/nvidia/api-definitions/runtime/__ldcv.md	migrated	
10-api-raw/runtime/__ldg.md	wiki/nvidia/api-definitions/runtime/__ldg.md	migrated	
10-api-raw/runtime/__ldlu.md	wiki/nvidia/api-definitions/runtime/__ldlu.md	migrated	
10-api-raw/runtime/__log10f.md	wiki/nvidia/api-definitions/runtime/__log10f.md	migrated	
10-api-raw/runtime/__log2f.md	wiki/nvidia/api-definitions/runtime/__log2f.md	migrated	
10-api-raw/runtime/__logf.md	wiki/nvidia/api-definitions/runtime/__logf.md	migrated	
10-api-raw/runtime/__pipeline_commit.md	wiki/nvidia/api-definitions/runtime/__pipeline_commit.md	migrated	
10-api-raw/runtime/__pipeline_memcpy_async.md	wiki/nvidia/api-definitions/runtime/__pipeline_memcpy_async.md	migrated	
10-api-raw/runtime/__pipeline_wait_prior.md	wiki/nvidia/api-definitions/runtime/__pipeline_wait_prior.md	migrated	
10-api-raw/runtime/__shfl_down_sync.md	wiki/nvidia/api-definitions/runtime/__shfl_down_sync.md	migrated	
10-api-raw/runtime/__shfl_sync.md	wiki/nvidia/api-definitions/runtime/__shfl_sync.md	migrated	
10-api-raw/runtime/__shfl_up_sync.md	wiki/nvidia/api-definitions/runtime/__shfl_up_sync.md	migrated	
10-api-raw/runtime/__shfl_xor_sync.md	wiki/nvidia/api-definitions/runtime/__shfl_xor_sync.md	migrated	
10-api-raw/runtime/__sincosf.md	wiki/nvidia/api-definitions/runtime/__sincosf.md	migrated	
10-api-raw/runtime/__sinf.md	wiki/nvidia/api-definitions/runtime/__sinf.md	migrated	
10-api-raw/runtime/__tanf.md	wiki/nvidia/api-definitions/runtime/__tanf.md	migrated	
10-api-raw/runtime/__tanhf.md	wiki/nvidia/api-definitions/runtime/__tanhf.md	migrated	
10-api-raw/runtime/cudaFuncSetAttribute.md	wiki/nvidia/api-definitions/runtime/cudaFuncSetAttribute.md	migrated	
10-api-raw/runtime/cudaOccupancyMaxActiveBlocksPerMultiprocessor.md	wiki/nvidia/api-definitions/runtime/cudaOccupancyMaxActiveBlocksPerMultiprocessor.md	migrated	
20-pattern/cuda-core/elementwise/INDEX.md	wiki/nvidia/operator-routing/elementwise/INDEX.md	migrated	
20-pattern/cuda-core/elementwise/ROUTING.md	wiki/nvidia/operator-routing/elementwise/ROUTING.md	migrated	
20-pattern/cuda-core/elementwise/TASK-PACKET.md	wiki/nvidia/operator-routing/elementwise/TASK-PACKET.md	migrated	
20-pattern/cuda-core/elementwise/library-fallback.md	wiki/nvidia/operator-routing/elementwise/library-fallback.md	migrated	
20-pattern/cuda-core/indexing/INDEX.md	wiki/nvidia/operator-routing/indexing/INDEX.md	migrated	
20-pattern/cuda-core/indexing/ROUTING.md	wiki/nvidia/operator-routing/indexing/ROUTING.md	migrated	
20-pattern/cuda-core/indexing/TASK-PACKET.md	wiki/nvidia/operator-routing/indexing/TASK-PACKET.md	migrated	
20-pattern/cuda-core/indexing/library-fallback.md	wiki/nvidia/operator-routing/indexing/library-fallback.md	migrated	
20-pattern/cuda-core/normalization/INDEX.md	wiki/nvidia/operator-routing/normalization/INDEX.md	migrated	
20-pattern/cuda-core/normalization/ROUTING.md	wiki/nvidia/operator-routing/normalization/ROUTING.md	migrated	
20-pattern/cuda-core/normalization/TASK-PACKET.md	wiki/nvidia/operator-routing/normalization/TASK-PACKET.md	migrated	
20-pattern/cuda-core/normalization/library-fallback.md	wiki/nvidia/operator-routing/normalization/library-fallback.md	migrated	
20-pattern/cuda-core/pooling/INDEX.md	wiki/nvidia/operator-routing/pooling/INDEX.md	migrated	
20-pattern/cuda-core/pooling/ROUTING.md	wiki/nvidia/operator-routing/pooling/ROUTING.md	migrated	
20-pattern/cuda-core/pooling/TASK-PACKET.md	wiki/nvidia/operator-routing/pooling/TASK-PACKET.md	migrated	
20-pattern/cuda-core/pooling/library-fallback.md	wiki/nvidia/operator-routing/pooling/library-fallback.md	migrated	
20-pattern/cuda-core/reduction/INDEX.md	wiki/nvidia/operator-routing/reduction/INDEX.md	migrated	
20-pattern/cuda-core/reduction/ROUTING.md	wiki/nvidia/operator-routing/reduction/ROUTING.md	migrated	
20-pattern/cuda-core/reduction/TASK-PACKET.md	wiki/nvidia/operator-routing/reduction/TASK-PACKET.md	migrated	
20-pattern/cuda-core/reduction/library-fallback.md	wiki/nvidia/operator-routing/reduction/library-fallback.md	migrated	
20-pattern/cuda-core/scan-cumulative/INDEX.md	wiki/nvidia/operator-routing/scan-cumulative/INDEX.md	migrated	
20-pattern/cuda-core/scan-cumulative/ROUTING.md	wiki/nvidia/operator-routing/scan-cumulative/ROUTING.md	migrated	
